Station,Year,Month,Day,Night,DayLimit,NightLimit
CHE09,2018,6,65,59,50,40
CHE09,2018,7,66,57,50,40
CHE09,2018,8,67,59,50,40
CHE09,2018,9,67,61,50,40
CHE09,2018,10,66,55,50,40
CHE09,2018,11,67,57,50,40
CHE09,2018,12,67,58,50,40
CHE10,2018,1,68,60,55,45
CHE10,2018,2,68,62,55,45
CHE10,2018,3,68,63,55,45
CHE10,2018,4,67,63,55,45
CHE10,2018,5,66,62,55,45
CHE10,2018,6,67,64,55,45
CHE10,2018,7,66,60,55,45
CHE10,2018,8,66,60,55,45
CHE10,2018,9,65,60,55,45
CHE10,2018,10,64,58,55,45
CHE10,2018,11,59,58,55,45
CHE10,2018,12,48,59,55,45
HYD01,2018,1,74,67,65,55
HYD01,2018,2,74,67,65,55
HYD01,2018,3,74,67,65,55
HYD01,2018,4,74,67,65,55
HYD01,2018,5,73,67,65,55
HYD01,2018,6,75,71,65,55
HYD01,2018,7,76,69,65,55
HYD01,2018,8,75,69,65,55
HYD01,2018,9,74,68,65,55
HYD01,2018,10,74,67,65,55
HYD01,2018,11,74,67,65,55
HYD01,2018,12,74,67,65,55
HYD02,2018,1,73,73,75,70
HYD02,2018,2,71,70,75,70
HYD02,2018,3,69,67,75,70
HYD02,2018,4,70,66,75,70
HYD02,2018,5,71,69,75,70
HYD02,2018,6,64,50,75,70
HYD02,2018,7,56,46,75,70
HYD02,2018,8,55,44,75,70
HYD02,2018,9,61,55,75,70
HYD02,2018,10,78,78,75,70
HYD02,2018,11,84,85,75,70
HYD02,2018,12,82,76,75,70
HYD03,2018,1,61,56,55,45
HYD03,2018,2,63,56,55,45
HYD03,2018,3,62,56,55,45
HYD03,2018,4,61,56,55,45
HYD03,2018,5,61,56,55,45
HYD03,2018,6,62,57,55,45
HYD03,2018,7,62,57,55,45
HYD03,2018,8,62,57,55,45
HYD03,2018,9,61,55,55,45
HYD03,2018,10,59,53,55,45
HYD03,2018,11,59,54,55,45
HYD03,2018,12,59,54,55,45
HYD04,2018,1,54,49,50,40
HYD04,2018,2,55,49,50,40
HYD04,2018,3,55,49,50,40
HYD04,2018,4,55,51,50,40
HYD04,2018,5,56,51,50,40
HYD04,2018,6,56,51,50,40
HYD04,2018,7,55,50,50,40
HYD04,2018,8,55,50,50,40
HYD04,2018,9,54,50,50,40
HYD04,2018,10,55,49,50,40
HYD04,2018,11,55,50,50,40
HYD04,2018,12,54,49,50,40
HYD05,2018,1,71,65,65,55
HYD05,2018,2,71,65,65,55
HYD05,2018,3,70,65,65,55
HYD05,2018,4,71,65,65,55
HYD05,2018,5,70,65,65,55
HYD05,2018,6,71,66,65,55
HYD05,2018,7,71,66,65,55
HYD05,2018,8,71,65,65,55
HYD05,2018,9,65,59,65,55
HYD05,2018,10,70,64,65,55
HYD05,2018,11,71,64,65,55
HYD05,2018,12,71,65,65,55
HYD06,2018,1,60,52,55,45
HYD06,2018,2,60,52,55,45
HYD06,2018,3,60,53,55,45
HYD06,2018,4,60,54,55,45
HYD06,2018,5,59,54,55,45
HYD06,2018,6,62,59,55,45
HYD06,2018,7,64,61,55,45
HYD06,2018,8,64,59,55,45
HYD06,2018,9,57,53,55,45
HYD06,2018,10,61,53,55,45
HYD06,2018,11,66,60,55,45
HYD06,2018,12,80,76,55,45
HYD07,2018,1,65,56,75,70
HYD07,2018,2,69,60,75,70
HYD07,2018,3,68,59,75,70
HYD07,2018,4,66,60,75,70
HYD07,2018,5,68,62,75,70
HYD07,2018,6,77,71,75,70
HYD07,2018,7,79,71,75,70
HYD07,2018,8,72,62,75,70
HYD07,2018,9,71,61,75,70
HYD07,2018,10,64,55,75,70
HYD07,2018,11,69,60,75,70
HYD08,2018,12,62,56,75,70
HYD08,2018,1,57,52,50,40
HYD08,2018,2,60,53,50,40
HYD08,2018,3,59,53,50,40
HYD08,2018,4,59,55,50,40
HYD08,2018,5,59,55,50,40
HYD08,2018,6,61,56,50,40
HYD08,2018,7,64,59,50,40
HYD08,2018,8,63,58,50,40
HYD08,2018,9,58,51,50,40
HYD08,2018,10,59,51,50,40
HYD08,2018,11,58,52,50,40
HYD08,2018,12,56,53,50,40
HYD09,2018,1,76,77,65,55
HYD09,2018,2,72,75,65,55
HYD09,2018,3,76,78,65,55
HYD09,2018,4,88,88,65,55
HYD09,2018,5,76,76,65,55
HYD09,2018,6,76,77,65,55
HYD09,2018,7,82,80,65,55
HYD09,2018,8,77,80,65,55
HYD09,2018,9,87,92,65,55
HYD09,2018,10,82,82,65,55
HYD09,2018,11,82,82,65,55
HYD09,2018,12,85,85,65,55
HYD10,2018,1,70,66,65,55
HYD10,2018,2,70,67,65,55
HYD10,2018,3,69,66,65,55
HYD10,2018,4,69,67,65,55
HYD10,2018,5,69,67,65,55
HYD10,2018,6,70,68,65,55
HYD10,2018,7,72,69,65,55
HYD10,2018,8,73,69,65,55
HYD10,2018,9,71,67,65,55
HYD10,2018,10,70,67,65,55
HYD10,2018,11,70,67,65,55
HYD10,2018,12,70,67,65,55
KOL01,2018,1,70,71,75,70
KOL01,2018,2,70,71,75,70
KOL01,2018,3,69,69,75,70
KOL01,2018,4,65,67,75,70
KOL01,2018,5,67,68,75,70
KOL01,2018,6,60,62,75,70
KOL01,2018,7,62,63,75,70
KOL01,2018,8,62,63,75,70
KOL01,2018,9,58,59,75,70
KOL01,2018,10,62,63,75,70
KOL01,2018,11,68,68,75,70
KOL01,2018,12,66,66,75,70
KOL02,2018,1,70,70,65,55
KOL02,2018,2,72,73,65,55
KOL02,2018,3,72,72,65,55
KOL02,2018,4,73,73,65,55
KOL02,2018,5,73,73,65,55
KOL02,2018,6,73,73,65,55
KOL02,2018,7,74,74,65,55
